time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/success,eval/reward,eval/length,eval/is_success,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
10000,0,346.94361028135967,0.0003447532653808594,0.0017151832580566406,0.038327932357788086,9501.5,0.0,-16.290097701921493,50.0,0.0,4.847116182066852,10000,-15.796111530725454,50.0,190.5,0.37213313579559326,-0.3903227895498276,0.09905704110860825,-0.7370238602161407,0.3262474536895752,0.0999549999833107
15000,0,34.74362944398475,0.00031375885009765625,0.0009391307830810547,0.03510904312133789,14501.5,0.015,-7.707512158939247,50.0,0.05,1.9563202926993661,15000,-9.521507380142463,50.0,290.5,0.19451260593533515,-2.2551861416101455,2.2923237525224684,1.7536022256612778,0.1903944314867258,0.03305770939216018
20000,0,34.305235001022986,0.0003237724304199219,0.0023353099822998047,0.03638100624084473,19501.5,0.0,-28.417868211641206,50.0,0.0,5.808072162628539,20000,-18.231907476272784,50.0,390.5,0.8468248282372951,-4.83450161743164,4.934968053340912,-4.343096188187599,-0.004988727720272436,0.014517035209573806
25000,0,34.963997153900166,0.00034308433532714844,0.0009567737579345703,0.03661489486694336,24501.5,0.0,-29.277056542437787,50.0,0.0,6.4613634683096235,25000,-19.372816285162443,50.0,490.5,1.5937327774763108,-7.100033025741578,7.283622886657715,-1.1338767538056709,0.07496758158376907,0.0259172200858593
30000,0,34.76512122810751,0.0003070831298828125,0.0009469985961914062,0.03486800193786621,29501.5,0.009,-10.564377398652985,50.0,0.1,1.394390604544217,30000,-12.141807943064148,50.0,590.5,4.048849203824997,-7.077065565109253,7.260552733898163,-3.1746988943815233,0.060536016214406116,0.07609413518756628
35000,0,34.73205712901643,0.0003662109375,0.0008876323699951172,0.035175323486328125,34501.5,0.022,-12.845938984015202,50.0,0.1,3.8384634369484845,35000,-11.230793515478478,50.0,690.5,3.994771514892578,-8.309037432670593,8.410459714889527,-3.5746425523757934,0.018884947695187292,0.04358735597878695
40000,0,35.220118476963044,0.00029206275939941406,0.0009660720825195312,0.04061293601989746,39501.5,0.012,-14.312488156695627,50.0,0.1,3.9091093933588437,40000,-13.496980034620183,50.0,790.5,4.378005985498429,-9.947369598388672,10.126606817245483,-4.424573807001114,-0.010827777638100087,0.024522935319691897
45000,0,35.15936651068462,0.0003619194030761719,0.0009663105010986328,0.03512382507324219,44501.5,0.0,-13.736635046781004,50.0,0.0,4.368733117100723,45000,-12.198987867661497,50.0,890.5,6.8473042211532595,-12.332753031730652,12.554878293037415,-4.447258135005832,-0.022020365112111903,0.051969235949218276
50000,0,34.40723090774577,0.0003447532653808594,0.0009500980377197266,0.03551197052001953,49501.5,0.0,-15.025780771783094,50.0,0.0,5.010905556720951,50000,-12.31653548352296,50.0,990.5,7.844091078281402,-13.703296685218811,13.93383609008789,-3.0997150851488113,0.04179098037746735,0.046285119120031595
55000,0,31.3890014669216,0.00039005279541015625,0.0010259151458740234,0.036605119705200195,54501.5,0.0,-12.898979428006822,50.0,0.0,3.1507607859162308,55000,-14.329823867540416,50.0,1090.5,9.229846505641937,-14.329483567237855,14.60140446949005,-3.653982970952988,0.013882488738803659,0.04113930377364158
60000,0,31.064995584853847,0.0005509853363037109,0.0014619827270507812,0.03711104393005371,59501.5,0.0,-18.34035756956072,50.0,0.0,3.362645723905889,60000,-21.118802005065977,50.0,1190.5,8.477838082551957,-15.134059237480164,15.45893649673462,-4.052486831009388,-0.0021437034436094108,0.04493652644008398
65000,0,31.272849698002144,0.00044083595275878906,0.0009751319885253906,0.0361638069152832,64501.5,0.0,-14.998833818444805,50.0,0.0,6.7733968866096,65000,-18.882620634823187,50.0,1290.5,8.577480486631394,-15.779481598854066,16.066203198432923,-3.5519580256938936,0.014575174172816332,0.03249159480072558
70000,0,30.950100395320874,0.0004069805145263672,0.0014889240264892578,0.038372039794921875,69501.5,0.001,-21.319650965014628,50.0,0.05,3.1947700351183,70000,-20.27434713348472,50.0,1390.5,15.492532287597657,-15.555519119262696,15.89117600250244,-6.249649488925934,-0.12863056881376542,0.05926241072267294
75000,0,31.193100098490614,0.00048089027404785156,0.0009679794311523438,0.037902116775512695,74501.5,0.043,-12.09869591927183,50.0,0.1,4.781444588145537,75000,-14.084841638849307,50.0,1490.5,10.119153948783875,-16.117981969833373,16.3763885307312,-3.866906032204628,0.005278156855900306,0.03858640784025192
80000,0,31.192399059985455,0.0004138946533203125,0.0009500980377197266,0.034765005111694336,79501.5,0.006,-14.4238811200614,50.0,0.05,4.716171916712411,80000,-15.881313522756523,50.0,1590.5,9.266904009819031,-16.802131660461427,17.207078311920167,-3.9241054443717003,0.005323926128912717,0.0736263791769743
85000,0,31.726458057152623,0.0003762245178222656,0.0009467601776123047,0.035836219787597656,84501.5,0.0,-17.93895081689054,50.0,0.0,6.127506520099074,85000,-17.102810288044164,50.0,1690.5,13.405759532928467,-16.931977754592896,17.263319442749022,-4.4112444794178005,-0.027889360387809575,0.06903299695253372
90000,0,28.876579710330514,0.0004031658172607422,0.0009570121765136719,0.03806900978088379,89501.5,0.016,-13.85763835040404,50.0,0.05,3.9346561668823186,90000,-12.246622060764897,50.0,1790.5,11.699849915027619,-17.526415784835816,17.847562459945678,-3.7278386125564573,0.014218913030112162,0.05285412790626288
95000,0,29.19147060048043,0.00042128562927246094,0.0009448528289794922,0.03767895698547363,94501.5,0.0,-9.65876225507652,50.0,0.0,3.493213621220339,95000,-10.853587630957112,50.0,1890.5,11.550003697872162,-17.563612295150758,17.84639644432068,-3.912135311603546,0.0036062794450263027,0.04001695887744427
100000,0,31.899843758375575,0.0003819465637207031,0.0009808540344238281,0.035378217697143555,99501.5,0.0,-10.658253880299384,50.0,0.0,3.9719609426442277,100000,-11.260044615237401,50.0,1990.5,12.069289730548858,-17.30140099143982,17.583335081100465,-3.8831583049297334,0.005113174659258221,0.04399356750026345
105000,0,30.771027844888785,0.00036787986755371094,0.0011372566223144531,0.03306913375854492,104501.5,0.039,-9.125736979308796,50.0,0.1,3.2512038924940296,105000,-10.424129540829966,50.0,2090.5,11.18760357761383,-17.151971466064452,17.447697895050048,-4.103714282035828,-0.004760914614773355,0.04737483861669898
110000,0,30.369892894078166,0.0003809928894042969,0.0009720325469970703,0.0385737419128418,109501.5,0.073,-10.883909288149853,50.0,0.15,4.20582956703971,110000,-11.71810473290245,50.0,2190.5,11.18404822587967,-17.00232571411133,17.323158981323243,-3.909341769695282,0.005189945282647386,0.057200585633516314
115000,0,33.15155992234972,0.00036907196044921875,0.0010089874267578125,0.031928062438964844,114501.5,0.0,-9.92789756644838,50.0,0.0,2.7160856066136128,115000,-9.386434770309704,50.0,2290.5,11.398861226081848,-16.895018745422362,17.17644078063965,-4.145790721178055,-0.007189522718603257,0.04866437908634543
120000,0,32.02981706381741,0.0005741119384765625,0.001561880111694336,0.033802032470703125,119501.5,0.0,-11.702611930159385,50.0,0.0,3.8418070439255754,120000,-12.5998273927174,50.0,2390.5,11.312991035461426,-17.045977779388426,17.394383249282836,-3.951236697912216,0.0026136233901197558,0.05252246117591858
125000,0,31.499105772609102,0.0003981590270996094,0.0040280818939208984,0.03919482231140137,124501.5,0.004,-9.890692789580484,50.0,0.05,2.5624387159100954,125000,-13.298699222152573,50.0,2490.5,16.854709897994994,-17.246796369552612,17.65434346008301,-3.054921137571335,0.08014598272705917,0.0886511645168066
130000,0,31.367440826403506,0.0003209114074707031,0.0008609294891357422,0.02735114097595215,129501.5,0.019,-12.747649987895908,50.0,0.05,3.008030387558872,130000,-10.970212858711488,50.0,2590.5,13.23088710784912,-17.591788063049318,17.9335797290802,-3.869218320846558,0.006497722617350519,0.04832317877560854
135000,0,30.680462501441564,0.0003879070281982422,0.0009450912475585938,0.03489208221435547,134501.5,0.0,-12.188252088402274,50.0,0.0,3.2177520534679025,135000,-13.727619464258359,50.0,2690.5,13.116938455104828,-17.785556324005128,18.111711820602416,-4.0377599792480465,-0.0022533869949402287,0.06227777569368482
140000,0,31.69426778622495,0.00043582916259765625,0.0012660026550292969,0.0370941162109375,139501.5,0.0,-12.245151618509304,50.0,0.0,2.508109610495341,140000,-13.960593644523266,50.0,2790.5,13.035410039901734,-17.43473387145996,17.734877698898316,-3.7536558166742324,0.01701309526024852,0.06972393926978111
145000,0,30.967461544674233,0.0004627704620361328,0.001028299331665039,0.03710579872131348,144501.5,0.0,-14.753955248612325,50.0,0.0,2.123914935099773,145000,-13.891370352618182,50.0,2890.5,11.537807041168213,-17.195642881393432,17.481703147888183,-3.8504815422296526,0.007790664803003893,0.05260643962398171
150000,0,31.17376350544062,0.0004699230194091797,0.0017781257629394531,0.0392611026763916,149501.5,0.007,-11.421695848617505,50.0,0.05,2.7466484899476944,150000,-14.70987775218362,50.0,2990.5,11.527640967845917,-17.076439233779908,17.365963886260985,-3.9401088910102846,0.0033193892853450964,0.055156571045517924
155000,0,31.359734526563752,0.0004076957702636719,0.0009741783142089844,0.036309003829956055,154501.5,0.0,-14.242904663589243,50.0,0.0,2.0766024289891023,155000,-15.902642662962634,50.0,3090.5,11.227263503074646,-16.85448666572571,17.127566036224366,-4.116820735216141,-0.006754449219093658,0.056278549775481225
160000,0,31.259710890394263,0.0004227161407470703,0.001074075698852539,0.03647303581237793,159501.5,0.0,-12.982255254649719,50.0,0.0,3.365220505632077,160000,-11.724460810149598,50.0,3190.5,12.157845009803772,-16.212197761535645,16.46472591018677,-3.610643143415451,0.031694374010898176,0.08396059437841177
165000,0,31.60037693488555,0.00040793418884277344,0.0009469985961914062,0.03704404830932617,164501.5,0.0,-10.919967805935377,50.0,0.0,2.816174744495053,165000,-11.236890056014884,50.0,3290.5,10.678065916061401,-15.900934032440185,16.143478293418884,-3.9441282324790956,0.003890174480038695,0.06925055161863565
170000,0,30.99413174489354,0.0004649162292480469,0.00145721435546875,0.03695178031921387,169501.5,0.0,-12.387396926919997,50.0,0.0,2.630253499649817,170000,-13.469189950213984,50.0,3390.5,10.353565761089325,-15.641112610816956,15.889968809127808,-3.8759793832302094,0.008612704462546389,0.06801762283593417
175000,0,31.313464615684346,0.00043010711669921875,0.000997781753540039,0.0356600284576416,174501.5,0.0,-11.707347898350221,50.0,0.0,2.079735535102237,175000,-12.801603501610924,50.0,3490.5,9.381795286655427,-15.477068783760071,15.728796398162842,-3.8837497029304506,0.007431934223626741,0.06509471787512303
180000,0,30.044342134582035,0.0004642009735107422,0.0008928775787353516,0.03713107109069824,179501.5,0.0,-13.53403691898271,50.0,0.0,2.582312770606446,180000,-12.56355796988888,50.0,3590.5,9.126262070655823,-15.323298864364624,15.56853817462921,-3.968756483078003,0.0017840156288584693,0.05209687157347798
185000,0,30.5618100268829,0.0003921985626220703,0.001010894775390625,0.04081416130065918,184501.5,0.004,-10.50835170321964,50.0,0.1,3.9811258151692823,185000,-11.58426166667831,50.0,3690.5,9.205730510234833,-15.422921312332154,15.687399034500123,-4.315550999879837,-0.020055933166877368,0.059839101139456036
190000,0,32.232314049396244,0.0003857612609863281,0.0009760856628417969,0.03294110298156738,189501.5,0.007,-11.076407357704891,50.0,0.05,3.2187041497829942,190000,-13.00613885303694,50.0,3790.5,9.529714022636414,-15.607561122894287,15.88274585056305,-3.972270184278488,0.0014052549242624082,0.0483121074102819
195000,0,32.56935062485719,0.0003428459167480469,0.0008909702301025391,0.031844139099121094,194501.5,0.0,-13.301838781452137,50.0,0.0,1.8811836804427247,195000,-11.614494984973478,50.0,3890.5,9.455637176990509,-15.70795815372467,15.987439304351806,-4.000249017238617,1.7998223891481756e-05,0.037239129465073344
200000,0,32.267956089156684,0.00045228004455566406,0.0009598731994628906,0.034960031509399414,199501.5,0.0,-17.789304716074085,50.0,0.0,5.631658441408817,200000,-18.223889911067364,50.0,3990.5,12.03836162853241,-15.84480261516571,16.205334664344786,-3.3864972150325774,0.041273246338707395,0.06948014396429061
205000,0,33.43830957854743,0.00038909912109375,0.000972747802734375,0.03271603584289551,204501.5,0.0,-15.358407160869046,50.0,0.0,4.393422735443407,205000,-15.055673278805681,50.0,4090.5,11.658953955173493,-16.158125685691832,16.450846632957457,-3.6086068605184556,0.02479081195651088,0.0643813394010067
210000,0,32.99643639141504,0.0003859996795654297,0.001010894775390625,0.03493618965148926,209501.5,0.0,-17.78556916084851,50.0,0.0,5.647268424726572,210000,-18.251647592119596,50.0,4190.5,11.751655202865601,-16.039645259857178,16.314301938056946,-4.233280111551284,-0.01377842007682193,0.0637161637879908
215000,0,35.056181315415024,0.0003898143768310547,0.0009319782257080078,0.03162407875061035,214501.5,0.0,-17.124295642000416,50.0,0.0,4.7318441792527866,215000,-14.821398948025953,50.0,4290.5,10.21891900587082,-15.726220336914063,15.969002634048461,-3.981431997537613,0.0009404683408210985,0.04785280890390277
220000,0,33.88490141355559,0.0004012584686279297,0.0010309219360351562,0.03422403335571289,219501.5,0.0,-11.791874375709385,50.0,0.0,3.0454225118918705,220000,-13.806604260301407,50.0,4390.5,9.87761518239975,-15.612309065818787,15.840958770751953,-3.939778827428818,0.0033175438129110263,0.054368561740964653
225000,0,33.497424742675925,0.000370025634765625,0.0012359619140625,0.034027099609375,224501.5,0.009,-13.470700580316969,50.0,0.05,4.5602551138470995,225000,-15.766863313944285,50.0,4490.5,9.243906020641328,-15.430668478965758,15.67603717327118,-4.011047884702682,-0.0005573476060526445,0.05359479708597064
230000,0,18.28031186444673,0.0004968643188476562,0.0041010379791259766,0.056574106216430664,229501.5,0.0,-14.94380251271713,50.0,0.0,4.177571782335053,230000,-15.748156045079856,50.0,4590.5,9.290708286285401,-15.351764518737793,15.592655196189881,-4.0328648915290835,-0.002171407297893893,0.0690297338962555
235000,0,32.036460195952536,0.0003571510314941406,0.0008158683776855469,0.028708934783935547,234501.5,0.0,-17.050267366569642,50.0,0.0,3.652151885438581,235000,-15.010047317222853,50.0,4690.5,8.885960253238679,-15.35851315498352,15.599920372009278,-3.9788442726135256,0.0014997352991485968,0.06672422625869513
240000,0,31.996806226990756,0.0004019737243652344,0.000926971435546875,0.036705970764160156,239501.5,0.0,-16.85160056630088,50.0,0.0,3.1071038200141947,240000,-15.840954430435954,50.0,4790.5,9.26791402721405,-15.406025374412536,15.646545115470886,-4.0617290549278255,-0.004243798994808458,0.06862099920213223
245000,0,31.77106926903818,0.0004489421844482422,0.0011551380157470703,0.03710007667541504,244501.5,0.0,-23.85081963372948,50.0,0.0,3.7715725436558394,245000,-17.72666502149436,50.0,4890.5,9.555166932106019,-15.46287486743927,15.712513650894165,-4.010531031608582,-0.0006795763723785057,0.07116909397393464
