time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/reward,eval/length,eval/is_success,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
10000,0,335.64042056521623,0.0003662109375,0.0009760856628417969,0.03253293037414551,9501.5,-16.13727363925055,50.0,0.0,4.29396985076146,10000,-15.674483107231264,50.0,190.5,0.2723586708307266,-0.35288019478321075,0.06041502580046654,-0.433060422539711,0.178320050239563,0.04997750371694565
15000,0,28.53301160442727,0.00029015541076660156,0.0009188652038574219,0.033271074295043945,14501.5,-10.7123606354737,50.0,0.0,1.9710498135273555,15000,-9.251589050931624,50.0,290.5,0.12177920769155025,-1.9281827819347381,1.9784588626623154,0.11795181057974696,0.07136168637126684,0.017297790076583625
20000,0,31.1650694524981,0.0005919933319091797,0.00115203857421875,0.04608321189880371,19501.5,-9.198887270876252,50.0,0.05,2.0633339826266663,20000,-7.690551060357779,50.0,390.5,0.11061513274908066,-1.7095951132774354,1.7595980309247972,-2.7734843506813047,0.010416635916975793,0.008418624973855912
25000,0,28.936821967005624,0.0003600120544433594,0.0009119510650634766,0.038381099700927734,24501.5,-9.485896788361863,50.0,0.0,1.7488156127085175,25000,-16.002828281855837,50.0,490.5,0.16331917542219163,-1.8919011874198914,1.9847371670007705,-5.017161805208772,-0.01096037646284094,0.01166457270551473
30000,0,28.21875867559655,0.00029397010803222656,0.0009579658508300781,0.03705191612243652,29501.5,-35.552565353014565,50.0,0.0,4.104046573778956,30000,-35.784277983300235,50.0,590.5,1.4684523495435715,-3.0979430015087126,3.4426162192821503,-9.745187935829163,-0.11566894800961018,0.020251811424270273
35000,0,29.81753128550461,0.00028324127197265625,0.0008227825164794922,0.024137258529663086,34501.5,-6.671649803511558,50.0,0.15,1.7446761173654715,35000,-7.373354474201143,50.0,690.5,0.23382033213973044,-2.1063526256084444,2.194041456699371,-0.38203880096040665,0.05339461358264089,0.014728608266450465
40000,0,27.769780916546363,0.00031185150146484375,0.0014297962188720703,0.03226113319396973,39501.5,-9.931193858098613,50.0,0.0,2.0128468974714697,40000,-7.7566954539110995,50.0,790.5,0.2274887717217207,-1.97573630797863,2.058182770848274,-3.09614302277565,0.00923221656223177,0.01008931023441255
45000,0,33.23849821312832,0.0003769397735595703,0.0009050369262695312,0.030868053436279297,44501.5,-6.608924971729588,50.0,0.1,1.4556054088675572,45000,-7.0918144167336505,50.0,890.5,0.20784111821651458,-1.8866456450223923,1.9685355217456817,-3.981889732122421,0.00012717689498094843,0.006708802954759448
50000,0,31.590911530204735,0.00034880638122558594,0.0009250640869140625,0.030174970626831055,49501.5,-6.2488695277782815,50.0,0.2,1.7139270900059027,50000,-8.152382824271958,50.0,990.5,0.17692061804234982,-1.755191346168518,1.8284749722480773,-4.500294392108917,-0.0027730046199358183,0.005640511762350798
55000,0,33.89012890962761,0.0002949237823486328,0.0009179115295410156,0.03610706329345703,54501.5,-4.568041608066383,50.0,0.8,1.0923097849665024,55000,-5.692568038530149,50.0,1090.5,0.14291393591463566,-1.6443931587934495,1.7083242639303207,-3.6021147520542143,0.0021633248534490123,0.005349606655538082
60000,0,30.986933748273024,0.000308990478515625,0.0009770393371582031,0.02978205680847168,59501.5,-5.068062031788252,50.0,0.45,1.6414272521782558,60000,-5.072640702045717,50.0,1190.5,0.12057808005064725,-1.5059605994224547,1.5587296056747437,-3.9991375737190245,5.362306772440206e-06,0.004671442402526736
65000,0,32.29202637927214,0.0003211498260498047,0.0009326934814453125,0.029186010360717773,64501.5,-4.378104558733129,50.0,0.65,1.1219360435659422,65000,-4.54798315644676,50.0,1290.5,0.11215085656940937,-1.4283059983253479,1.4785309138298035,-4.040042014360428,-0.00017854406998230843,0.004434138601180166
70000,0,32.40394496929562,0.0003027915954589844,0.000904083251953125,0.03479313850402832,69501.5,-4.062386762686765,50.0,0.75,0.8791546946410947,70000,-4.514626580409737,50.0,1390.5,0.11031644316017628,-1.36484441614151,1.4157664296627044,-4.040015672683716,-0.00019664660127455136,0.0050287031922489405
75000,0,31.081731559442563,0.00037789344787597656,0.0009260177612304688,0.030878067016601562,74501.5,-4.726247171456668,50.0,0.4,0.9591686985515501,75000,-4.5171781461496066,50.0,1490.5,0.10840048885345459,-1.313592697262764,1.3647471141815186,-4.085010677337647,-0.0003921138401965436,0.004609440897125751
80000,0,32.03326011990538,0.00030803680419921875,0.0010001659393310547,0.029553890228271484,79501.5,-4.960172289621886,50.0,0.3,1.238357137660292,80000,-4.237265078218795,50.0,1590.5,0.10461969966441392,-1.271061457514763,1.3226229816675186,-3.96128222322464,0.00017168533851508983,0.004338316107634455
