time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/reward,eval/length,eval/is_success,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
10000,0,341.67907206885616,0.00034117698669433594,0.0018780231475830078,0.036847829818725586,9501.5,-15.718354870917356,50.0,0.0,4.422212793432146,10000,-15.9703085065653,50.0,190.5,0.27355626225471497,-0.3545810878276825,0.043736113235354424,-0.4581555426120758,0.17707426846027374,0.049984999001026154
15000,0,32.690533905829824,0.0003349781036376953,0.0009531974792480469,0.03098917007446289,14501.5,-11.702678447138867,50.0,0.05,1.3844317020843606,15000,-10.749240600608967,50.0,290.5,0.1758522360920906,-2.3014764845371247,2.3514592003822328,1.3603964915480464,0.12247699572145938,0.022803982559591533
20000,0,28.442943944899174,0.0003440380096435547,0.0015151500701904297,0.0334620475769043,19501.5,-9.254565597398452,50.0,0.1,2.4611841948935718,20000,-9.437159393286338,50.0,390.5,0.1534240095987916,-2.0573859239816668,2.1130306515693666,-1.8825257860571145,0.025105866056401284,0.011824259325861931
25000,0,31.621522186235307,0.00026917457580566406,0.0009047985076904297,0.03369903564453125,24501.5,-20.629986437594532,50.0,0.0,5.342640774977386,25000,-21.22181498551491,50.0,490.5,0.5155309290885925,-2.6535139882564547,2.8281002790927885,-9.662315562725068,-0.08134425939247013,0.0143770882319659
30000,0,32.707331477473666,0.0004038810729980469,0.0010030269622802734,0.031191110610961914,29501.5,-13.38435809723615,50.0,0.0,3.64644971148977,30000,-9.647612691404436,50.0,590.5,0.23535479266941547,-2.086177344441414,2.12047299861908,-2.67351377004385,0.02941997817030642,0.021654228292405604
35000,0,28.208889428186186,0.0004131793975830078,0.0010838508605957031,0.037297964096069336,34501.5,-7.115596475021228,50.0,0.2,1.5217327494043196,35000,-8.095845444893737,50.0,690.5,0.17175543624162673,-1.9637262654304504,1.9965028126239777,-2.881828782558441,0.014456831054762006,0.012915214280597866
40000,0,30.642200679360094,0.0003762245178222656,0.0008997917175292969,0.0344390869140625,39501.5,-7.592540639170943,50.0,0.2,1.4631618840855813,40000,-7.475759026411806,50.0,790.5,0.1511864449828863,-1.8808665606975556,1.9182678216695785,-3.842946073770523,0.0013605896691660747,0.008456609595566988
45000,0,31.60794329171272,0.0003769397735595703,0.001455068588256836,0.036718130111694336,44501.5,-9.011262163881145,50.0,0.3,2.3684718235476536,45000,-9.45333771867949,50.0,890.5,0.1446210181415081,-1.829775529384613,1.8740309195518494,-4.013472562789917,-0.00010495090020413045,0.007929798447992653
50000,0,31.250417005247296,0.00035691261291503906,0.0009162425994873047,0.034639835357666016,49501.5,-7.758180398396638,50.0,0.25,2.53047965648807,50000,-6.146965698857803,50.0,990.5,0.14037704886496066,-1.76960901761055,1.816485985159874,-4.662588222503662,-0.00460160717881081,0.006798282537143678
55000,0,31.129058938044334,0.0003540515899658203,0.0009710788726806641,0.03383302688598633,54501.5,-5.316044535532816,50.0,0.4,1.4427081630188445,55000,-5.928170116212328,50.0,1090.5,0.14264888571202755,-1.7585252838134766,1.8140103188753127,-3.3324077707529067,0.006391326283322996,0.009553499025292695
60000,0,31.435942932324544,0.0003631114959716797,0.0009059906005859375,0.04215693473815918,59501.5,-16.314204919169477,50.0,0.0,1.7331519968794447,60000,-17.271413908169528,50.0,1190.5,0.25559514114260673,-1.7766559236049653,1.8578256633281707,-8.569312413692474,-0.045471827913075684,0.010041196275502443
65000,0,31.17576363378105,0.0003941059112548828,0.0009038448333740234,0.03301882743835449,64501.5,-6.779842843037126,50.0,0.05,2.219566656165655,65000,-8.864181509709042,50.0,1290.5,0.18392323703318833,-1.7052409665584565,1.7706953327655792,-6.064109438657761,-0.021298895972635363,0.010432626653462649
70000,0,31.454453895953584,0.00039386749267578125,0.00128173828125,0.03237628936767578,69501.5,-4.915131709734743,50.0,0.55,1.4500206611448745,70000,-5.2593383306228265,50.0,1390.5,0.15392311937361955,-1.6192945815324784,1.6773379811048508,-4.733650881767273,-0.0058289481201354645,0.008124244939070196
75000,0,31.54841967750901,0.0004010200500488281,0.0009989738464355469,0.03421902656555176,74501.5,-5.224801931245132,50.0,0.45,1.6742503065845147,75000,-7.648135022557307,50.0,1490.5,0.16823871652781963,-1.6199382382631302,1.6795305106639862,-3.897647271990776,0.0016034532343037426,0.015920316709205507
80000,0,31.238439812756628,0.000431060791015625,0.0009520053863525391,0.034706830978393555,79501.5,-4.179535730976499,50.0,0.8,1.1519268560240967,80000,-4.781065661547728,50.0,1590.5,0.13282602749764919,-1.537140528678894,1.5900833438634872,-3.422173019170761,0.005005435699553346,0.008611971123144031
85000,0,30.616323531024097,0.00043010711669921875,0.0010037422180175781,0.0382080078125,84501.5,-4.377757207942625,50.0,0.65,0.9723945920719433,85000,-4.659759489028096,50.0,1690.5,0.12997094051539898,-1.486986925125122,1.540419543147087,-4.262119041442871,-0.0018347738837765065,0.006809015760663897
90000,0,31.219831716164265,0.0004258155822753906,0.001641988754272461,0.03593087196350098,89501.5,-4.664624935375985,50.0,0.95,0.6084371248196172,90000,-4.213561416509131,50.0,1790.5,0.12451152811944485,-1.480185616493225,1.5386936528682709,-3.7827044835090637,0.0011846941427720594,0.0055005148123018445
95000,0,30.861941195339686,0.0003981590270996094,0.0009429454803466797,0.03521609306335449,94501.5,-3.6911849939515604,50.0,0.95,1.0126600217012642,95000,-4.486795046154132,50.0,1890.5,0.12283821803331375,-1.415801058292389,1.4717064254283905,-4.029628761053085,-0.0001508319096537889,0.005090513010974973
100000,0,30.675459173367265,0.0003960132598876953,0.0009639263153076172,0.03512382507324219,99501.5,-4.2931693216236635,50.0,0.6,1.27008755016553,100000,-3.9524737422677645,50.0,1990.5,0.12836083632707596,-1.4210088350772858,1.484093743801117,-4.049103594303131,-0.0002690177455733647,0.0054600436869077385
105000,0,30.741592966950595,0.0004608631134033203,0.0009829998016357422,0.03769207000732422,104501.5,-3.78480236547613,50.0,0.95,0.9648356833685028,105000,-3.8499263346932784,50.0,2090.5,0.12432133167982101,-1.3726883684396745,1.434329301595688,-3.9460348842144013,0.0002710533092831611,0.0051237152782268825
110000,0,31.081548678499296,0.00036597251892089844,0.0012269020080566406,0.03592801094055176,109501.5,-3.437824211451712,50.0,1.0,0.9532410367438645,110000,-3.867252412279214,50.0,2190.5,0.11917484763264656,-1.3359134030342101,1.3974989671707154,-3.91939358663559,0.00037035672782803885,0.004541453698184341
115000,0,31.311233136606937,0.0003731250762939453,0.0009837150573730469,0.03436017036437988,114501.5,-3.2681227514612807,50.0,0.95,1.1035690992718437,115000,-3.9742611872346423,50.0,2290.5,0.1198366745337844,-1.3093912324905395,1.3709979412555695,-3.969915158987045,0.0001342089779136586,0.004331860984209925
120000,0,31.544451593617513,0.00037407875061035156,0.000965118408203125,0.03789472579956055,119501.5,-3.192075652409348,50.0,1.0,0.7419395470000159,120000,-3.548959992109689,50.0,2390.5,0.11975098524242639,-1.2959789204597474,1.3604867647886276,-3.9701444103717805,0.0001168085871686344,0.0037702121953479945
125000,0,30.82423437607526,0.0002999305725097656,0.0009438991546630859,0.04506802558898926,124501.5,-5.678496269648525,50.0,0.25,0.8301766365933888,125000,-4.091225442429818,50.0,2490.5,0.12306026160717011,-1.273930983543396,1.3409070975780486,-3.97160809636116,0.00012549812767247202,0.004244214043952524
130000,0,31.261844391457696,0.00039386749267578125,0.0009701251983642578,0.03574800491333008,129501.5,-3.540096719936133,50.0,0.9,1.3221335360442186,130000,-3.949907531053598,50.0,2590.5,0.12437509754300118,-1.2755441596508026,1.3458233666419983,-3.777584529399872,0.0010136800612744992,0.00457790550775826
135000,0,30.969907037499475,0.00038909912109375,0.0010008811950683594,0.03341078758239746,134501.5,-3.7302711341882584,50.0,0.9,1.2112733722709292,135000,-4.087649204802465,50.0,2690.5,0.126421711653471,-1.2623726307153702,1.3348598923683166,-3.741282711267471,0.0012627704530459596,0.004957029080018402
140000,0,31.02761914859223,0.0003719329833984375,0.0009388923645019531,0.03440999984741211,139501.5,-3.3218993608524237,50.0,1.0,0.8304654156575967,140000,-4.15850287053424,50.0,2790.5,0.1266265046223998,-1.242894038081169,1.3168853451013565,-4.30762352180481,-0.0012308518249737972,0.004163920894265175
145000,0,31.008034587140386,0.0003898143768310547,0.0010161399841308594,0.03983187675476074,144501.5,-3.2060776935889868,50.0,1.0,1.0667950724900324,145000,-3.625768366469991,50.0,2890.5,0.11557279542833566,-1.1999121901988983,1.2683429077863693,-3.9537128348350525,0.00014839952257534605,0.003176622733939439
150000,0,30.80441673648201,0.0004239082336425781,0.0010352134704589844,0.03872203826904297,149501.5,-2.6209717349513766,50.0,1.0,0.6474599335940338,150000,-3.3534930042875906,50.0,2990.5,0.11413208734989166,-1.1868166320323945,1.2557341943979263,-4.022362376689911,-6.601040741588804e-05,0.002938372243195772
155000,0,31.622606226670168,0.00039505958557128906,0.0009632110595703125,0.03388381004333496,154501.5,-3.177315706801203,50.0,1.0,0.8656462464069502,155000,-3.026058947612617,50.0,3090.5,0.113771784581244,-1.171871873497963,1.2418572651147843,-3.861907711267471,0.0004647886610255227,0.0033526314343325795
160000,0,31.00370257463835,0.0004069805145263672,0.0009579658508300781,0.04560112953186035,159501.5,-3.4192892868422513,50.0,1.0,0.6608225521080725,160000,-3.279355827695008,50.0,3190.5,0.11308929949253797,-1.154996056675911,1.2254692941904068,-4.073890674591064,-0.0002167320802254835,0.002892908895621076
165000,0,31.02608275954651,0.0003750324249267578,0.0009589195251464844,0.034726858139038086,164501.5,-2.9673820044560912,50.0,1.0,0.6898330158522568,165000,-3.2621241418837683,50.0,3290.5,0.11491201683878899,-1.1482728970050813,1.221751912713051,-4.151041995048523,-0.0004927511656023853,0.003275494724046439
170000,0,31.36445298084656,0.0003960132598876953,0.00096893310546875,0.034374237060546875,169501.5,-2.940783591479648,50.0,1.0,0.6328836385544044,170000,-3.3781954506419334,50.0,3390.5,0.11150677931308746,-1.1335681855678559,1.2061371363401412,-3.88764240193367,0.00030771266470401316,0.002740628472995013
175000,0,31.83409581497367,0.00034999847412109375,0.0009677410125732422,0.033193111419677734,174501.5,-3.02553228155899,50.0,1.0,0.7408441602657551,175000,-3.125493902466098,50.0,3490.5,0.11184448434412479,-1.1253967064619064,1.198813246011734,-3.9165544283390044,0.00022801319622885784,0.002731889411108568
180000,0,30.67749369613689,0.0003788471221923828,0.0009479522705078125,0.03234219551086426,179501.5,-3.025798803488323,50.0,1.0,0.8282269507267465,180000,-3.343534461036694,50.0,3590.5,0.11059980014711618,-1.1170677996873855,1.1912479782104493,-4.014847383737564,-3.7534311202762185e-05,0.0025645560354460033
185000,0,30.73081558149849,0.0005748271942138672,0.000972747802734375,0.035689353942871094,184501.5,-3.7266266731765727,50.0,0.9,0.7054847378348008,185000,-3.2203900191742263,50.0,3690.5,0.11111018001288175,-1.0969444566965103,1.1706429797410964,-3.9752684161663057,6.486007272360439e-05,0.0026221779661718754
190000,0,31.44252748053141,0.00040221214294433594,0.0010058879852294922,0.03372001647949219,189501.5,-2.848619938265705,50.0,1.0,0.9715470404812029,190000,-3.015722824747358,50.0,3790.5,0.11253608593344688,-1.0908170260190964,1.166517533183098,-4.108729132890701,-0.00028932548478769604,0.002758338207611814
195000,0,31.60983062307851,0.00039005279541015625,0.0009839534759521484,0.03429102897644043,194501.5,-2.6615585023164874,50.0,1.0,0.7937609248838359,195000,-3.492927054594284,50.0,3890.5,0.11194312751293183,-1.0959894626140594,1.1738034934997559,-3.9502595043182374,0.00013305468631733675,0.0026627496886067093
200000,0,31.204715430274025,0.00033783912658691406,0.0009160041809082031,0.038149118423461914,199501.5,-2.689311743221802,50.0,1.0,0.7473324728057127,200000,-3.2140534713569773,50.0,3990.5,0.10833503419905902,-1.07922352206707,1.1562220963239669,-3.904455739021301,0.0002311848794852267,0.002425982880871743
205000,0,31.316707676459675,0.0004439353942871094,0.0009639263153076172,0.033718109130859375,204501.5,-2.8199562528368114,50.0,1.0,0.852187011282527,205000,-3.2569094290959923,50.0,4090.5,0.10913515388965607,-1.0685914945602417,1.1462129275798798,-4.0347661790847775,-8.35458846304391e-05,0.002441038405057043
210000,0,31.19015001084772,0.00039505958557128906,0.0010099411010742188,0.03505110740661621,209501.5,-3.2186289154048233,50.0,1.0,0.5092632291312107,210000,-3.0501954302103704,50.0,4190.5,0.10803102634102106,-1.0641186653375625,1.1423984265327454,-3.9487212002277374,0.00012170043025253108,0.0023301658080890774
