time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/episode_return,eval/episode_length,eval/success,eval/reward,eval/length,eval/is_success,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
5000,0,6.869114676089191,0.00043892860412597656,0.0031821727752685547,0.14649271965026855,4501.5,-19.34977910760454,50.0,0.0,-19.34977910760454,50.0,0.0,3.4463729680380046,5000,-21.065395435714077,50.0,90.5,0.21009493648260832,-2.7805651938915252,2.811300725221634,-0.9597517200168222,0.08728011844889261,0.028960670759901403
10000,0,15.630452875123906,0.0003819465637207031,0.0014538764953613281,0.061524152755737305,9501.5,-23.535160501521826,50.0,0.0,-23.535160501521826,50.0,0.0,3.52860557785726,10000,-28.36607506755987,50.0,190.5,1.7781398022174835,-6.290501095294952,6.293307023048401,-6.511838501930237,-0.12938523404486477,0.05060071306303143
15000,0,15.69244909312337,0.0003058910369873047,0.000997304916381836,0.05824470520019531,14501.5,-21.856566425478626,50.0,0.0,-21.856566425478626,50.0,0.0,3.6039408559794026,15000,-23.008247464802004,50.0,290.5,5.544346818447113,-9.81645418548584,9.865130754470826,-3.858570868253708,0.020846326631493866,0.14894748508930206
20000,0,15.723626482387024,0.00038123130798339844,0.0009617805480957031,0.06591415405273438,19501.5,-19.38955304394235,50.0,0.0,-19.38955304394235,50.0,0.0,4.3275320846413505,20000,-23.52586362224726,50.0,390.5,6.550317459583282,-11.820041381835937,11.932867539405823,-2.558988753080368,0.12632177239423617,0.08838542842864991
25000,0,15.693272855628912,0.00040602684020996094,0.0009510517120361328,0.06591677665710449,24501.5,-20.36188415281173,50.0,0.0,-20.36188415281173,50.0,0.0,3.0625800819883553,25000,-20.92381044524336,50.0,490.5,5.58563280248642,-14.595726181030274,14.807721914291381,-0.5836726438393817,0.15310328464955092,0.04464134935662151
30000,0,15.672915477978943,0.0003609657287597656,0.0008370876312255859,0.05682015419006348,29501.5,-24.52238562105905,50.0,0.0,-24.52238562105905,50.0,0.0,5.371015441490654,30000,-25.720943325045766,50.0,590.5,16.546301163196564,-15.256076741218568,15.320572548866272,-8.645659305810929,-0.23305965084582567,0.04891295500472188
35000,0,15.69147965364209,0.0003330707550048828,0.0008940696716308594,0.060839176177978516,34501.5,-25.35984395692909,50.0,0.0,-25.35984395692909,50.0,0.0,3.5895550696362553,35000,-24.851289645330578,50.0,690.5,22.28473544216156,-16.858012126922606,17.077583974838255,-4.360039484262466,-0.06742470247368328,0.1896492977142334
40000,0,15.6768831621622,0.0004038810729980469,0.00086212158203125,0.057875871658325195,39501.5,-26.624237195458477,50.0,0.0,-26.624237195458477,50.0,0.0,3.5627570966699236,40000,-27.578811568040884,50.0,790.5,18.803197768211366,-17.47072869682312,17.57869446182251,-3.3801688239574434,0.08920634276745841,0.14440680550038815
45000,0,15.697942163915343,0.00036787986755371094,0.0008649826049804688,0.05744004249572754,44501.5,-34.12024754362756,50.0,0.0,-34.12024754362756,50.0,0.0,3.0352106876183087,45000,-32.121422563628094,50.0,890.5,19.36101830291748,-17.79584005737305,17.986361877441407,-3.813853435754776,0.01855463148094714,0.10090396007895469
50000,0,15.600812403450469,0.0003879070281982422,0.0010590553283691406,0.06698489189147949,49501.5,-25.36370841645472,50.0,0.0,-25.36370841645472,50.0,0.0,3.5650351864498577,50000,-24.11798775712404,50.0,990.5,20.94984112548828,-19.187203620910644,19.463979204177857,-4.138950972080231,-0.010702694063074886,0.08151271479576826
55000,0,15.645113496493476,0.0003809928894042969,0.0008449554443359375,0.05756020545959473,54501.5,-29.95771764484225,50.0,0.0,-29.95771764484225,50.0,0.0,3.645635562949746,55000,-30.262026142793367,50.0,1090.5,23.401653242111205,-20.354564758300782,20.64288201713562,-3.9910788757801057,0.0006211904509691522,0.06649495528638363
60000,0,15.69813933941583,0.0003628730773925781,0.0008189678192138672,0.06691217422485352,59501.5,-29.98760560037298,50.0,0.0,-29.98760560037298,50.0,0.0,3.851942194924542,60000,-30.983747253034828,50.0,1190.5,23.302330204963685,-21.49475974082947,21.788033041000368,-3.700544970989227,0.01972591470350744,0.06560457238927483
65000,0,15.729128074844162,0.0003590583801269531,0.0008528232574462891,0.05668997764587402,64501.5,-21.31183599054181,50.0,0.0,-21.31183599054181,50.0,0.0,5.779644661132201,65000,-22.400806979162912,50.0,1290.5,25.196039056777956,-22.526465076446534,22.905605070114134,-3.9941728447675704,0.001047025995561853,0.10340401968359947
70000,0,15.575685676360147,0.0003409385681152344,0.0008029937744140625,0.053663015365600586,69501.5,-18.09507723975441,50.0,0.0,-18.09507723975441,50.0,0.0,4.237453106966342,70000,-21.047530565711718,50.0,1390.5,23.4648210811615,-23.517409019470215,23.886309173583985,-4.3994367332458495,-0.03502254736563191,0.09664232063293457
75000,0,15.675399387720821,0.0003800392150878906,0.0008189678192138672,0.06753802299499512,74501.5,-18.856784784701468,50.0,0.0,-18.856784784701468,50.0,0.0,4.302067551363689,75000,-21.235640916873955,50.0,1490.5,23.3251524848938,-24.227241115570067,24.58261866760254,-4.598079648017883,-0.06051195444399491,0.09953523073345423
80000,0,15.592234378029513,0.0003898143768310547,0.0009050369262695312,0.05792713165283203,79501.5,-21.388009444784295,50.0,0.0,-21.388009444784295,50.0,0.0,3.91362539246074,80000,-19.96936133897992,50.0,1590.5,25.570697600364685,-25.28739078140259,25.60623585319519,-3.257085097074509,0.07755432999599725,0.10375052893161774
85000,0,15.767681251809918,0.00039124488830566406,0.0008540153503417969,0.055586814880371094,84501.5,-19.44304325558955,50.0,0.0,-19.44304325558955,50.0,0.0,3.4183082420383504,85000,-21.090171136358514,50.0,1690.5,25.79488104534149,-25.599485567092895,25.986347555160524,-3.8366945955753327,0.013340098379994742,0.07955350221693516
90000,0,15.656001554109467,0.0003600120544433594,0.000865936279296875,0.060534000396728516,89501.5,-18.116530834611996,50.0,0.0,-18.116530834611996,50.0,0.0,3.571507557576645,90000,-18.941146157117483,50.0,1790.5,26.651957856178285,-26.2797117767334,26.687097484588623,-3.4217411673069,0.04805399979581125,0.0801627201884985
95000,0,15.676672750835504,0.0004048347473144531,0.0010089874267578125,0.05577492713928223,94501.5,-18.915067909147098,50.0,0.0,-18.915067909147098,50.0,0.0,3.8788072083556613,95000,-20.372674416078674,50.0,1890.5,28.768280381202697,-26.903268295288086,27.381161008834837,-3.911465040922165,0.006780462299473584,0.07632866318523884
100000,0,15.683004554348704,0.0003688335418701172,0.0009522438049316406,0.06768608093261719,99501.5,-22.022558523554594,50.0,0.0,-22.022558523554594,50.0,0.0,1.7533441893009174,100000,-22.460639873032644,50.0,1990.5,29.092706380844117,-27.31412805366516,27.769377084732056,-4.012532814025879,-0.0006363588420208544,0.05381096681579947
105000,0,15.773166683440895,0.0004029273986816406,0.0009419918060302734,0.06624484062194824,104501.5,-19.714385627337077,50.0,0.0,-19.714385627337077,50.0,0.0,3.6725261535242897,105000,-22.03393729346898,50.0,2090.5,29.3206161775589,-27.9577393989563,28.44666944885254,-3.739291221857071,0.011128094239684288,0.042617149133235215
110000,0,15.863437097906711,0.0003809928894042969,0.0008497238159179688,0.05645108222961426,109501.5,-28.580600730019075,50.0,0.0,-28.580600730019075,50.0,0.0,4.015500393621416,110000,-29.10669293542595,50.0,2190.5,30.526745401382446,-26.123537031173704,26.828072660446168,-5.826199198246003,-0.3400920196189545,0.19138076628744602
115000,0,15.78581652343193,0.0003669261932373047,0.0008981227874755859,0.05647897720336914,114501.5,-27.576908177119844,50.0,0.0,-27.576908177119844,50.0,0.0,3.807015838778263,115000,-28.883460944240916,50.0,2290.5,40.78170135116577,-26.200611627578734,26.874846263885498,-7.776599615097046,-0.32021484775841236,0.08552568538486957
120000,0,15.739339465249255,0.0003790855407714844,0.0009589195251464844,0.06285619735717773,119501.5,-27.571470854870363,50.0,0.0,-27.571470854870363,50.0,0.0,3.670689959895206,120000,-25.59496200638972,50.0,2390.5,36.88300068473816,-28.150542001724244,28.660308935165407,-3.871174556970596,0.02640274476003833,0.19929943136870862
125000,0,15.72549879230249,0.0003540515899658203,0.0008869171142578125,0.05774116516113281,124501.5,-28.24555549752888,50.0,0.0,-28.24555549752888,50.0,0.0,3.994774915905997,125000,-27.94990421798652,50.0,2490.5,36.048752935409546,-27.219455825805664,27.544953605651855,-4.142471293449402,-0.025679097189567984,0.1859848945438862
130000,0,15.620163858613784,0.00037980079650878906,0.0009462833404541016,0.06741189956665039,129501.5,-30.893926183653058,50.0,0.0,-30.893926183653058,50.0,0.0,3.571909194852896,130000,-30.56114930840418,50.0,2590.5,35.75133029365539,-26.789237270355226,27.15683333015442,-3.860127912044525,0.02207517379859928,0.15458301465213298
135000,0,15.708419827465216,0.00039124488830566406,0.0008656978607177734,0.059118032455444336,134501.5,-32.287179765044584,50.0,0.0,-32.287179765044584,50.0,0.0,3.8460703384704287,135000,-30.45359329148683,50.0,2690.5,35.19952252960205,-26.368545400619507,26.64634872817993,-4.1806775374412535,-0.029071170491632076,0.16133645075559616
140000,0,15.659601105541471,0.00035572052001953125,0.0009970664978027344,0.058628082275390625,139501.5,-31.051656746122188,50.0,0.0,-31.051656746122188,50.0,0.0,4.33643407049275,140000,-31.96622731183914,50.0,2790.5,33.818433225631715,-25.389574026107788,25.753024248123168,-3.8155804114341736,0.029022696720669046,0.15374660155177117
145000,0,15.723215294183316,0.00037407875061035156,0.0008270740509033203,0.057482004165649414,144501.5,-33.094312355776225,50.0,0.0,-33.094312355776225,50.0,0.0,2.937708907272084,145000,-32.95277994005007,50.0,2890.5,32.846578641891476,-24.963756219863892,25.235681379318237,-4.083376351118088,-0.014061514109489508,0.17150492607057094
