time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/success,eval/reward,eval/length,eval/is_success,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
20000,0,23.633569725339843,0.0003943443298339844,0.0017497539520263672,0.06782102584838867,19501.5,0.0,-1.5381905758308614,50.0,0.0,0.8872555601527249,20000,-1.4493205912226217,50.0,390.5,0.04509877786040306,-0.09489756077528,0.09371057525277138,-0.534077376127243,0.34653863310813904,0.0999549999833107
25000,0,14.497716892609686,0.0004050731658935547,0.0008950233459472656,0.058171749114990234,24501.5,0.0,-1.4121534994994356,50.0,0.0,0.6710933937512817,25000,-1.6777487840783638,50.0,490.5,0.03415499035641551,0.9214439162611961,-0.9799066976904869,2.6431798598766325,0.21473572887480258,0.03230985919199884
30000,0,15.547188318157124,0.0003991127014160156,0.0009620189666748047,0.07088994979858398,29501.5,0.0,-1.4720952019852362,50.0,0.0,0.7170383414285004,30000,-1.6424059759223764,50.0,590.5,0.011600060360506178,0.5959207635521889,-0.6069505273103714,2.2146247178316116,0.06645276777073741,0.010692382075823844
35000,0,15.563780095155042,0.00039505958557128906,0.0008609294891357422,0.057559967041015625,34501.5,0.05,-1.2215782938773194,50.0,0.05,0.5530089005004468,35000,-1.4141505662064335,50.0,690.5,0.001377136007300578,0.11008221331983804,-0.1047723877094686,2.439702200770378,0.022464691499248148,0.0034889939029235395
40000,0,7.909212979581072,0.0006122589111328125,0.001714944839477539,0.11758589744567871,39501.5,0.0,-1.463624119256021,50.0,0.0,0.6620388522601083,40000,-1.6993887588019159,50.0,790.5,0.00404071097029373,-0.31720768254995346,0.326595094203949,-2.3603479449786247,0.002254300809036067,0.00136826450296212
45000,0,7.732467691071495,0.0006489753723144531,0.001708984375,0.12153816223144531,44501.5,0.0,-1.531518843337423,50.0,0.0,0.7628333448830389,45000,-1.2477668648391158,50.0,890.5,0.014609424324706197,-0.5998865150809288,0.6113465244174003,-4.759421181201935,-0.002486896724487451,0.003326213107444346
50000,0,11.876223496478278,0.0005109310150146484,0.001542806625366211,0.07555294036865234,49501.5,0.0,-1.4955837326396941,50.0,0.0,0.7098035279122958,50000,-1.529354522598458,50.0,990.5,0.024448118567466735,-0.863814404129982,0.8803593178987503,-4.240152065277099,-0.000771629927752656,0.003171226358273998
55000,0,12.851674178457902,0.0006878376007080078,0.0017058849334716797,0.09229111671447754,54501.5,0.05,-1.2939241549295641,50.0,0.05,0.6267188683056459,55000,-1.568433797969806,50.0,1090.5,0.036068203680217265,-1.0824329737424851,1.103795805811882,-4.596171564459801,-0.0026837625186890363,0.004561576599255204
60000,0,13.920529883835757,0.0004229545593261719,0.0009009838104248047,0.06940317153930664,59501.5,0.0,-1.3373386457612182,50.0,0.0,0.7457094662504673,60000,-1.2087304701115693,50.0,1190.5,0.044620671682059763,-1.2872725574970245,1.3140626722574233,-3.900946576356888,0.0004351549608181813,0.004201532161794603
65000,0,15.649055262364316,0.0004012584686279297,0.0009279251098632812,0.0655059814453125,64501.5,0.0,-1.5996205418426068,50.0,0.0,0.5993335483360416,65000,-1.4014842898294784,50.0,1290.5,0.05752247810736299,-1.4550289686918259,1.484839452266693,-4.094663907051086,-0.0004480445627341396,0.004845310451462865
70000,0,15.660770390806361,0.00040602684020996094,0.0015118122100830078,0.06833887100219727,69501.5,0.15,-1.3124792609615086,50.0,0.15,0.7598428561120634,70000,-1.3099324555705263,50.0,1390.5,0.06862391070649028,-1.5997760968208312,1.6325396453142167,-4.115422410964966,-0.0005313576500338968,0.0046335250930860635
75000,0,15.718948776861914,0.00039196014404296875,0.001316070556640625,0.06086301803588867,74501.5,0.05,-1.274893683298457,50.0,0.05,0.7405768270312459,75000,-1.4119399287772738,50.0,1490.5,0.0830016722790897,-1.7084985508918762,1.7434182500839233,-4.016586273908615,-7.726089064090047e-05,0.004920090521220118
80000,0,15.700510180934328,0.0004057884216308594,0.0008821487426757812,0.06233716011047363,79501.5,0.0,-1.3642263255532392,50.0,0.0,0.7622676478114514,80000,-1.4677196043622878,50.0,1590.5,0.08764150220155716,-1.8083720059394837,1.8456947077512742,-3.9385628917217255,0.0002611565101396991,0.004284181739203632
85000,0,14.569265645346245,0.0004050731658935547,0.001291036605834961,0.06873393058776855,84501.5,0.0,-1.61463537523136,50.0,0.0,0.6262514426580603,85000,-1.5328308152981467,50.0,1690.5,0.23240782538056373,-1.852234372973442,1.9171897240877152,-6.2519495844841,-0.021756356058787788,0.009720380250364542
90000,0,14.70578877011952,0.00042700767517089844,0.0009000301361083984,0.07216596603393555,89501.5,0.0,-1.5555636821135863,50.0,0.0,0.7237692929475777,90000,-1.3770286873173623,50.0,1790.5,0.33762554909288883,-2.108954950809479,2.1562734234333036,-3.5708650110960005,0.007439460634021088,0.01743227373249829
95000,0,14.592885532705084,0.00045418739318847656,0.0009636878967285156,0.06475019454956055,94501.5,0.0,-1.3381816152485322,50.0,0.0,0.6254307575283115,95000,-1.4929080026224073,50.0,1890.5,0.28711192367970945,-2.079326108217239,2.116190530180931,-3.8706393120288847,0.0014349875681218692,0.011260928924195468
100000,0,14.890010875168208,0.00043010711669921875,0.001458883285522461,0.06027507781982422,99501.5,0.0,-1.6853726605498829,50.0,0.0,0.4929262257397454,100000,-1.37636133533333,50.0,1990.5,0.25543618723750117,-2.0613406352996826,2.0988047971725465,-3.914122869729996,0.0009642126676044426,0.010897150612436235
105000,0,14.748711494183176,0.0003719329833984375,0.0027730464935302734,0.06810808181762695,104501.5,0.0,-1.6266795017440168,50.0,0.0,0.5551454450645928,105000,-1.670032065993966,50.0,2090.5,0.23425965595245363,-2.042575633764267,2.072141211390495,-4.11169127368927,-0.0009576787726109614,0.008798568459227682
110000,0,14.781853454107008,0.0004601478576660156,0.0008797645568847656,0.06879115104675293,109501.5,0.05,-1.3209120200015951,50.0,0.05,0.6079228152887214,110000,-1.5789817316674561,50.0,2190.5,0.22022146821022034,-2.0044354305267333,2.038694730758667,-4.055531479120255,-0.0004684901010914473,0.008694023886695504
115000,0,14.77493542651682,0.00034880638122558594,0.0008292198181152344,0.058957815170288086,114501.5,0.05,-1.3596053865050142,50.0,0.05,0.8518847165521054,115000,-1.4811656286472072,50.0,2290.5,0.2126772051155567,-1.9881320053339004,2.0201947875022888,-4.203815908670426,-0.0015838321995033766,0.007920014717616141
120000,0,14.771102001798134,0.0004467964172363281,0.0008652210235595703,0.0625457763671875,119501.5,0.0,-1.5376508970418876,50.0,0.0,0.6142368048069416,120000,-1.818881547104494,50.0,2390.5,0.21285215601325036,-1.971722068786621,2.01030382835865,-3.9392505300045015,0.0005205512106331298,0.008457091310992837
125000,0,14.774133433950782,0.00042700767517089844,0.0010950565338134766,0.06659698486328125,124501.5,0.1,-1.6491036739341716,50.0,0.1,0.8417536802719099,125000,-1.4697956270884103,50.0,2490.5,0.23291429318487644,-1.97248583817482,2.011358262181282,-4.419361747026444,-0.003552768645924516,0.008402681025210768
130000,0,14.725614470818716,0.0004379749298095703,0.0009629726409912109,0.06946086883544922,129501.5,0.05,-1.3562995047759778,50.0,0.05,0.6535535168737677,130000,-1.285035737334366,50.0,2590.5,0.21392067793011665,-1.9536975572109223,1.9890793862342835,-3.994519187927246,4.893423900648486e-05,0.008102136229164898
135000,0,14.724511698139983,0.00038886070251464844,0.0008640289306640625,0.062290191650390625,134501.5,0.05,-1.4437902390863546,50.0,0.05,0.6976333698620878,135000,-1.2801734911037266,50.0,2690.5,0.1907842525988817,-1.954728071808815,1.9903315725326538,-4.021403340101242,-0.00016211502236546948,0.0076417817799374465
140000,0,14.761966326812454,0.0003631114959716797,0.0009379386901855469,0.06445097923278809,139501.5,0.05,-1.460744169798468,50.0,0.05,0.6783435150916712,140000,-1.405654010329341,50.0,2790.5,0.18603457347303629,-1.9640402864217759,2.0022669500112533,-3.951263063430786,0.0004086988106937497,0.008112649143673479
145000,0,14.7057413862139,0.0004642009735107422,0.0008609294891357422,0.06239509582519531,144501.5,0.0,-1.6512886573037728,50.0,0.0,0.647424312918414,145000,-1.553005347278581,50.0,2890.5,0.18249385786801578,-1.9702199335098267,2.007409167289734,-4.027196088552475,-0.00019963116504368372,0.007784290228039026
150000,0,14.710704433455847,0.0004279613494873047,0.002218008041381836,0.0685586929321289,149501.5,0.05,-1.3867840518171535,50.0,0.05,0.7299150603679412,150000,-1.2778767516173708,50.0,2990.5,0.17322651515901089,-1.974358176112175,2.0105062656402586,-4.0589155790805815,-0.00046751237211719855,0.008117045694962143
