time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/env_steps,eval/episode_return,eval/episode_length,eval/success,eval/reward,eval/length,eval/is_success,eval/reward_std,step,train/reward,train/length,train/num_ep,train/q_loss,train/target_q,train/actor_loss,train/entropy,train/alpha_loss,train/alpha
5000,0,0.21933787227317578,0.0003809928894042969,0.001180887222290039,0.10588526725769043,4501.5,-23.300318468749463,50.0,0.0,-23.300318468749463,50.0,0.0,1.8161697220377133,5000,-24.340039218900255,50.0,90.5,0.12315126730501652,-2.1730140521526335,2.0754819173812864,2.536787722826004,0.5060523114204407,0.07734547714143991
10000,0,12.283139163590565,0.0004642009735107422,0.0017428398132324219,0.08542418479919434,9501.5,-20.792105642044866,50.0,0.0,-20.792105642044866,50.0,0.0,4.24680969160938,10000,-36.7786772336824,50.0,190.5,1.1775778922438622,-5.661892464637757,5.636268723011017,-6.730975258827209,-0.11190995022840798,0.040762538127601146
15000,0,15.7172361039397,0.0003426074981689453,0.0008292198181152344,0.0587458610534668,14501.5,-22.02444247730179,50.0,0.0,-22.02444247730179,50.0,0.0,3.2383357455394535,15000,-23.428521932345372,50.0,290.5,2.8612738002538682,-9.838257309913635,9.970120992660522,-2.9350024174451828,0.05787493408320006,0.05413831567391753
20000,0,15.701658427175326,0.00045180320739746094,0.0008728504180908203,0.055149078369140625,19501.5,-20.519074272658013,50.0,0.0,-20.519074272658013,50.0,0.0,3.166926778092533,20000,-22.959555926080423,50.0,390.5,4.19171952855587,-12.949317945480347,13.126002803802491,-5.021032068729401,-0.049894944324507376,0.0510047511830926
25000,0,10.604906951480169,0.0004131793975830078,0.0010488033294677734,0.06737899780273438,24501.5,-20.147768450677795,50.0,0.0,-20.147768450677795,50.0,0.0,2.958447498189402,25000,-20.887772672968254,50.0,490.5,6.502638889789582,-15.883427290916442,16.19563063144684,-3.6095949606895448,0.01979327146106516,0.0520387304648757
30000,0,11.375011999645821,0.0004892349243164062,0.0013136863708496094,0.0983591079711914,29501.5,-33.85883706708768,50.0,0.0,-33.85883706708768,50.0,0.0,3.1284114084231054,30000,-32.260109899256086,50.0,590.5,13.52530821466446,-17.23132168006897,17.441186820983887,-8.27122770659998,-0.14074718298390507,0.03114929853193462
35000,0,10.593141536997832,0.0007379055023193359,0.0016069412231445312,0.11829400062561035,34501.5,-20.530057180784507,50.0,0.0,-20.530057180784507,50.0,0.0,3.8380610477923205,35000,-40.907739909774136,50.0,690.5,12.039924569129944,-21.15727138519287,21.570539714813233,0.5259342281278223,0.2844101453020703,0.06358401969820261
40000,0,10.913313473878071,0.000514984130859375,0.0009970664978027344,0.09815502166748047,39501.5,-33.3470219440944,50.0,0.0,-33.3470219440944,50.0,0.0,3.8875118799342054,40000,-31.885403219384017,50.0,790.5,36.603955812454224,-18.08318288612366,18.4855751247406,-7.674788618564606,-0.5015482564121485,0.1383615000024438
45000,0,10.859736192266263,0.0005199909210205078,0.001416921615600586,0.08612298965454102,44501.5,-23.52434357831901,50.0,0.0,-23.52434357831901,50.0,0.0,3.272345656383674,45000,-22.20772708093842,50.0,890.5,14.0058250041008,-21.46541221809387,21.753542993545533,-1.4543572038011625,0.16023235260439106,0.06106665598601103
50000,0,10.878316450393191,0.00039005279541015625,0.0011057853698730469,0.06875801086425781,49501.5,-24.319566676625012,50.0,0.0,-24.319566676625012,50.0,0.0,2.9790557402346534,50000,-25.267688306670685,50.0,990.5,23.786623343467713,-22.822615926742554,23.137901737213134,-4.355490049183369,-0.030864682845305653,0.08864627915620804
